# JD,t_rest ,T, T_down, T_up, R, R_down, R_up,L,L_down,L_up, chi2/dof,Psudo_L_bol, Pseudo_L_bol_err,L_bol_w_extrap,L_bol_w_extrap_err
2.456572578666670248e+06,9.474348302238499997e-01,2.104156015530449440e+04,1.990923775352484517e+04,2.217388255708414363e+04,2.453115132179375625e+14,2.309825457253820000e+14,2.596404807104931250e+14,8.405609608617937905e+42,7.483099633592119280e+42,9.328119583643756529e+42,2.505108633296749154e+00,4.104187052918848404e+42,6.095301854882295510e+39,8.771096883959627753e+42,5.122264677902346525e+41
2.456572778666700236e+06,1.145091638747390395e+00,1.903943989687772410e+04,1.783550037837700074e+04,2.024337941537844745e+04,2.825958447951586875e+14,2.616098434837706875e+14,3.035818461065466875e+14,7.477730635944113464e+42,6.578059092889961007e+42,8.377402178998265921e+42,4.185065205751484108e+00,3.932072223278521128e+42,5.604596365131072612e+39,7.512870332667009546e+42,4.308546150149010916e+41
2.456572978666699957e+06,1.342748417357569890e+00,1.877309138089263797e+04,1.582727206229488002e+04,2.171891069949039593e+04,2.747680946182749688e+14,2.272556800015752812e+14,3.222805092349746875e+14,6.681860147296390127e+42,4.660093222177624783e+42,8.703627072415155472e+42,2.241776776031836604e+01,4.008800306720503482e+42,5.644038463812201309e+39,7.145215599219609928e+42,9.490190914006897281e+41
2.456573178666700143e+06,1.540405196427955037e+00,1.809780337904470070e+04,1.541141426477180175e+04,2.078419249331760147e+04,2.947848444300757500e+14,2.456386935263178750e+14,3.439309953338336250e+14,6.642558170338477706e+42,4.774269695169764171e+42,8.510846645507191240e+42,2.208323280228741226e+01,4.162500763497460882e+42,5.759599299162778481e+39,7.117384745712321390e+42,8.311117667235360397e+41
2.456573378666700330e+06,1.738061975498340184e+00,1.751161925643498034e+04,1.503899650962132546e+04,1.998424200324863705e+04,3.147384404707855625e+14,2.639953349586653438e+14,3.654815459829057500e+14,6.637834226420371956e+42,4.889287677485540171e+42,8.386380775355203740e+42,2.182902149697305560e+01,4.316201220274417664e+42,5.876217843028698682e+39,7.123739785954146147e+42,7.395886457399720617e+41
2.456573578666700050e+06,1.935718754108519679e+00,1.699308273019799162e+04,1.470061130263186351e+04,1.928555415776411974e+04,3.347476055770241875e+14,2.824489007943256250e+14,3.870463103597227500e+14,6.658022311208096906e+42,5.005097646420037928e+42,8.310946975996155884e+42,2.164894139147335039e+01,4.469901676693512595e+42,5.993832357776860983e+39,7.154656934873176538e+42,6.665459217571002483e+41
2.456573778666700236e+06,2.133375533178904604e+00,1.562572864443168510e+04,1.370729375177324437e+04,1.754416353709012401e+04,3.777127322072031250e+14,3.228772184541242500e+14,4.325482459602820000e+14,6.060465206129217016e+42,4.719613336414949815e+42,7.401317075843484217e+42,2.140244587106326080e+01,4.836874187806573390e+42,6.091551904632606662e+39,6.774297068374926490e+42,4.286897640613083525e+41
2.456574778666700236e+06,3.121659427610419257e+00,1.439767431832562215e+04,1.290658319164832574e+04,1.588876544500291857e+04,4.413815842882347500e+14,3.841319918931126875e+14,4.986311766833568125e+14,5.965122965343689265e+42,4.914677400218094464e+42,7.015568530469284065e+42,1.882386911240774907e+01,5.035097064411024462e+42,5.969399335151660887e+39,6.618092145107206668e+42,2.788259997880406820e+41
2.456575778666700236e+06,4.109943322041933911e+00,1.299947703221516713e+04,1.207230445813444021e+04,1.392664960629589405e+04,5.214494045371103750e+14,4.707084866367300000e+14,5.721903224374907500e+14,5.532857391597931511e+42,4.912029059517814818e+42,6.153685723678048204e+42,1.289878948353423382e+01,4.790471967364603650e+42,5.010097871774857585e+39,5.921042070643913282e+42,1.269573879901259907e+41
2.456576778666700236e+06,5.098227216473448564e+00,1.182529894834979859e+04,1.114243532635782140e+04,1.250816257034177579e+04,5.986128637692780000e+14,5.478955467311219375e+14,6.493301808074340000e+14,4.993007357232908818e+42,4.568659130491279329e+42,5.417355583974538307e+42,1.105037570514233813e+01,4.527456268380357825e+42,4.239994738251690392e+39,5.309001740214489698e+42,6.655757058227971801e+40
2.456577778666700236e+06,6.086511110904962329e+00,1.123997530539224681e+04,1.060650654698600010e+04,1.187344406379849352e+04,6.490313797203917500e+14,5.934785537480088750e+14,7.045842056927746250e+14,4.790870354356607124e+42,4.410985419805804730e+42,5.170755288907409519e+42,1.104658199461247925e+01,4.457662055102625290e+42,4.024963243222195996e+39,5.103929739485043350e+42,5.140265908803506986e+40
2.456578778666700236e+06,7.074795005336476983e+00,1.055255932737290823e+04,1.004418744387813786e+04,1.106093121086767860e+04,7.141508859605695000e+14,6.589120554221335000e+14,7.693897164990055000e+14,4.506431450269246655e+42,4.211656365950070368e+42,4.801206534588422942e+42,9.346061121013702788e+00,4.245893641970284071e+42,3.587814460445293066e+39,4.751326178041230022e+42,3.325550138794134526e+40
2.456579778666700236e+06,8.063078899767990748e+00,1.002033496959508193e+04,9.617212205521012947e+03,1.042345773366915091e+04,7.669763422448007500e+14,7.153102944582197500e+14,8.186423900313817500e+14,4.225854074683457309e+42,4.000958451951022530e+42,4.450749697415892087e+42,7.305400967462986728e+00,3.987801447106244755e+42,3.186465288812973907e+39,4.397747764339633322e+42,2.204839412419991278e+40
2.456580778666700236e+06,9.051362794199505402e+00,9.564830876557851298e+03,9.237186802508551409e+03,9.892474950607151186e+03,8.190944647974576250e+14,7.705610263664817500e+14,8.676279032284335000e+14,4.001278349272808423e+42,3.822198617011519939e+42,4.180358081534096907e+42,5.850699327068209499e+00,3.766780309458589065e+42,2.885432907417001026e+39,4.111139628133480859e+42,1.567979677442431696e+40
2.456581778667000122e+06,1.003964698500339559e+01,9.258871471606380510e+03,8.972664033575283611e+03,9.545078909637477409e+03,8.561594001474391250e+14,8.091041193053461250e+14,9.032146809895321250e+14,3.838513576637910292e+42,3.683800548495554956e+42,3.993226604780265628e+42,5.245807443485168697e+00,3.611714226138317893e+42,2.638936499495440101e+39,3.918342587844302498e+42,1.263739686065523233e+40
2.456582778667000122e+06,1.102793087943490846e+01,8.928395995572022002e+03,8.675690806901011456e+03,9.181101184243032549e+03,8.999549353359602500e+14,8.532491566789247500e+14,9.466607139929957500e+14,3.667388363455845337e+42,3.531332142784591798e+42,3.803444584127098875e+42,4.895152650897622415e+00,3.456648189320160672e+42,2.403799005095085722e+39,3.729359957031168867e+42,1.039895970440277013e+40
2.456587778667000122e+06,1.596935035159248173e+01,7.808802684636410049e+03,7.652512904810950204e+03,7.965092464461869895e+03,1.026648250061256750e+15,9.847206953624573750e+14,1.068575804760056125e+15,2.792561455880233720e+42,2.711321161873735341e+42,2.873801749886731789e+42,3.591319509117747888e+00,2.628012616923144854e+42,1.641124465525922231e+39,2.811581138112619028e+42,5.586793760432880451e+39
2.456592778667000122e+06,2.091076982375005500e+01,7.077597124888034159e+03,6.919324650368556831e+03,7.235869599407511487e+03,1.140149019987139000e+15,1.084587090352409625e+15,1.195710949621868500e+15,2.324278626742982737e+42,2.240291710270437350e+42,2.408265543215528125e+42,5.375199818355944181e+00,2.158811846516983916e+42,1.324619506908258814e+39,2.320846544205451218e+42,6.003029535783671793e+39
2.456597778667000122e+06,2.585218929590762471e+01,6.307361708157648536e+03,6.127612397877645890e+03,6.487111018437651182e+03,1.364407283648954500e+15,1.305995688044708000e+15,1.422818879253201000e+15,2.099426175696676981e+42,1.999527192588321504e+42,2.199325158805032458e+42,1.124507219100729749e+01,1.703756160491657882e+42,9.817089544308039579e+38,2.119115631678543270e+42,1.978880885915755609e+40
2.456602778667000122e+06,3.079360876806519798e+01,6.035829662821381135e+03,5.748658058905884900e+03,6.323001266736877369e+03,1.414802690724397500e+15,1.272401831542829000e+15,1.557203549905966000e+15,1.893046382916317696e+42,1.778767943701057872e+42,2.007324822131577519e+42,1.430174503742496483e+01,1.588658773558070024e+42,9.443208892304497875e+38,1.944453195812392627e+42,2.149916159194239027e+40
2.456607778667000122e+06,3.573502824022276769e+01,5.750806539901824181e+03,5.439406078015692401e+03,6.062207001787955960e+03,1.510625754383840250e+15,1.319965004497372500e+15,1.701286504270308000e+15,1.778485798965000700e+42,1.636718600278920897e+42,1.920252997651080504e+42,1.873905599276227107e+01,1.530423727690174687e+42,9.260118535637491981e+38,1.851216223860480777e+42,2.558787005449842884e+40
2.456612778667000122e+06,4.067644771238034451e+01,5.639865619393364796e+03,5.297398526094267254e+03,5.982332712692462337e+03,1.535611448461271000e+15,1.315383217717854000e+15,1.755839679204688000e+15,1.700040657860590306e+42,1.546608894231173686e+42,1.853472421490006925e+42,2.128638347820931997e+01,1.457218362558764882e+42,9.201829104967181092e+38,1.760357442693075907e+42,2.737432398977408002e+40
2.456617778667000122e+06,4.561786718453791423e+01,5.542364756467938605e+03,5.178649943443272605e+03,5.906079569492604605e+03,1.560903278125303500e+15,1.321365406671226000e+15,1.800441149579381000e+15,1.638151272430504968e+42,1.481035304257014178e+42,1.795267240603995757e+42,2.531502040097154449e+01,1.433183113415594179e+42,8.826980591449341111e+38,1.723055135417331615e+42,2.781579044939879960e+40
2.456622778667000122e+06,5.055928665669548394e+01,5.359892885772809677e+03,5.006466949479175128e+03,5.713318822066444227e+03,1.664732612349238500e+15,1.401530334711003250e+15,1.927934889987473750e+15,1.629802645216960400e+42,1.463243094918770395e+42,1.796362195515150406e+42,2.715655487315938288e+01,1.434556411732665295e+42,8.765370874698128896e+38,1.720768920666595697e+42,2.926294632762578438e+40
2.456627778667000122e+06,5.550070612885306076e+01,5.218482142484856013e+03,4.859683564742854287e+03,5.577280720226857738e+03,1.736740510749573500e+15,1.445512209094441250e+15,2.027968812404705750e+15,1.593926446745975331e+42,1.417809223018436150e+42,1.770043670473514513e+42,3.108088165435044914e+01,1.416090003854637654e+42,8.558845915115234947e+38,1.696206572725690576e+42,3.096266537235671713e+40
