# JD,t_rest ,T, T_down, T_up, R, R_down, R_up,L,L_down,L_up, chi2/dof,Psudo_L_bol, Pseudo_L_bol_err,L_bol_w_extrap,L_bol_w_extrap_err
2.456572578666670248e+06,1.026497541852004147e+00,2.606847332314520099e+04,2.430407503050759260e+04,2.783287161578280939e+04,2.211883095803807812e+14,2.069916362773027812e+14,2.353849828834587812e+14,1.609934959654325900e+43,1.367189598827842467e+43,1.852680320480809333e+43,2.305655477536026954e+00,4.104187052918848404e+42,6.095301854882295510e+39,1.511516698033960858e+43,1.660242417268061825e+42
2.456572778666700236e+06,1.224154350375544320e+00,2.299616348232470773e+04,2.118251088824560793e+04,2.480981607640380753e+04,2.574294521103595312e+14,2.364626084584515625e+14,2.783962957622675000e+14,1.320564490742139405e+43,1.102807703142121991e+43,1.538321278342156819e+43,4.049780746394296749e+00,3.932072223278521128e+42,5.604596365131072612e+39,1.189711783428950954e+43,1.313422062103959239e+42
2.456572978666699957e+06,1.421811128985724038e+00,2.252370133230059582e+04,1.816893393075592030e+04,2.687846873384527134e+04,2.523264337342893750e+14,2.044344239583862500e+14,3.002184435101925000e+14,1.167632405378662386e+43,6.888130858569587749e+42,1.646451724900365997e+43,2.171483980559533578e+01,4.008800306720503482e+42,5.644038463812201309e+39,1.089755485018502180e+43,2.824926176292022992e+42
2.456573178666700143e+06,1.619467908056108962e+00,2.151655295350772940e+04,1.763029700834889081e+04,2.540280889866656798e+04,2.719986124476440625e+14,2.226697253549646562e+14,3.213274995403235000e+14,1.129914975076091507e+43,7.046640009913041554e+42,1.555165949160878860e+43,2.137208986955245393e+01,4.162500763497460882e+42,5.759599299162778481e+39,1.049430899187930715e+43,2.383024865369900681e+42
2.456573378666700330e+06,1.817124687126494109e+00,2.065989933776629914e+04,1.714793313396466328e+04,2.417186554156793500e+04,2.915693458404198750e+14,2.408149677786571875e+14,3.423237239021825625e+14,1.103616360987348941e+43,7.188710779133194201e+42,1.488361644061378462e+43,2.111184387116888672e+01,4.316201220274417664e+42,5.876217843028698682e+39,1.020483218350768112e+43,2.052916528204710670e+42
2.456573578666700050e+06,2.014781465736673827e+00,1.991506296174326781e+04,1.671028201362043183e+04,2.311984390986610379e+04,3.111671013557335625e+14,2.590070614484956562e+14,3.633271412629715000e+14,1.085264717931818408e+43,7.321524403687569929e+42,1.438376995494879824e+43,2.092740188858662975e+01,4.469901676693512595e+42,5.993832357776860983e+39,9.994590809762001640e+42,1.797576550080503043e+42
2.456573778666700236e+06,2.212438244807058751e+00,1.807490394107915927e+04,1.549579256228403028e+04,2.065401531987428825e+04,3.526595186789848750e+14,2.987588465593376250e+14,4.065601907986321250e+14,9.458816781515700385e+42,6.793658289937421783e+42,1.212397527309397899e+43,2.054047119123607956e+01,4.836874187806573390e+42,6.091551904632606662e+39,8.837534952854080407e+42,1.127260516756171913e+42
2.456574778666700236e+06,3.200722139238573405e+00,1.638803479744372817e+04,1.445812290405009844e+04,1.831794669083735789e+04,4.157404056608611250e+14,3.598338989457612500e+14,4.716469123759610000e+14,8.883284707446502193e+42,6.932946403959515166e+42,1.083362301093348922e+43,1.802992371874260868e+01,5.035097064411024462e+42,5.969399335151660887e+39,8.169360645221938530e+42,6.881580985629777005e+41
2.456575778666700236e+06,4.189006033670088058e+00,1.453626822008476483e+04,1.338735767347592446e+04,1.568517876669360521e+04,4.959476919427903750e+14,4.468313485745810625e+14,5.450640353109996875e+14,7.825373208445422840e+42,6.762572871194643175e+42,8.888173545696202505e+42,1.225767859781040769e+01,4.790471967364603650e+42,5.010097871774857585e+39,6.915200483434801863e+42,2.886127525299762617e+41
2.456576778666700236e+06,5.177289928101601824e+00,1.305548930289943746e+04,1.223856346219294210e+04,1.387241514360593283e+04,5.728987973146477500e+14,5.242804092770259375e+14,6.215171853522696250e+14,6.794383161674875114e+42,6.115721979917512609e+42,7.473044343432237619e+42,1.039731102240137695e+01,4.527456268380357825e+42,4.239994738251690392e+39,5.932013080308981544e+42,1.403590853722219947e+41
