# JD,t_rest ,T, T_down, T_up, R, R_down, R_up,L,L_down,L_up, chi2/dof,Psudo_L_bol, Pseudo_L_bol_err,L_bol_w_extrap,L_bol_w_extrap_err
2.458976641899999697e+06,1.404562564876473241e+00,1.898903206931944442e+04,1.856106132578594406e+04,1.941700281285294477e+04,1.743102581420567812e+14,1.690085636942212500e+14,1.796119525898923125e+14,2.815002627439778004e+42,2.711060262780017371e+42,2.918944992099538946e+42,8.143825061825544775e-01,1.507603728140836772e+42,1.592766763604231938e+39,2.863026249662711101e+42,5.007354087680591106e+40
2.458979869199999608e+06,4.615090765467922296e+00,1.272278816413397726e+04,1.242428480844659316e+04,1.302129151982136136e+04,3.304056344356497500e+14,3.178777316021396250e+14,3.429335372691598750e+14,2.038194732911676573e+42,1.965313122393001113e+42,2.111076343430352033e+42,3.089191584624138009e+00,1.583671919597385148e+42,1.451915651768872652e+39,2.085217394459271703e+42,1.799290049456031989e+40
2.458980738299999852e+06,5.479674181943885891e+00,1.165862682953290096e+04,1.140324319405898314e+04,1.191401046500681878e+04,3.704542988766547500e+14,3.563754342646191875e+14,3.845331634886903125e+14,1.806676870636139865e+42,1.746457760776382468e+42,1.866895980495897262e+42,3.494825914336206818e+00,1.504297041383757144e+42,1.308139345205930358e+39,1.891799388790201198e+42,1.298207989796206024e+40
2.458982268699999899e+06,7.002120920230018086e+00,1.035049996005399589e+04,1.016065934472844492e+04,1.054034057537954686e+04,4.285242024792355625e+14,4.134317525126868125e+14,4.436166524457843125e+14,1.501819100181828724e+42,1.458552246573524074e+42,1.545085953790133374e+42,3.174565768960831313e+00,1.294106270694528583e+42,1.106448712839771251e+39,1.577683128081161361e+42,8.244328620417017357e+39
2.458982930599999614e+06,7.660581123841738282e+00,1.004944285531387322e+04,9.866577449705937397e+03,1.023230826092180905e+04,4.454394863905339375e+14,4.295066436389866250e+14,4.613723291420812500e+14,1.442005664099745491e+42,1.400188434652733613e+42,1.483822893546757369e+42,3.235051965142953900e+00,1.248560185366522570e+42,1.074295869930485965e+39,1.516406126241152787e+42,7.841299126301915278e+39
2.458985182799999602e+06,9.901076774550514159e+00,8.975134358155926748e+03,8.795120755709609512e+03,9.155147960602243984e+03,5.136544310331841875e+14,4.914352683107805000e+14,5.358735937555878750e+14,1.219909218874342989e+42,1.177210465647563937e+42,1.262607972101122042e+42,4.610030027273107400e+00,1.060946772505391247e+42,9.250561159381950276e+38,1.288063203152436897e+42,8.003076759377706580e+39
2.458986176699999720e+06,1.088981162381567280e+01,8.442076718072603398e+03,8.260274194633318984e+03,8.623879241511887813e+03,5.592056542454313750e+14,5.325420875040911875e+14,5.858692209867715000e+14,1.131779665466914685e+42,1.087672245426832547e+42,1.175887085506996824e+42,5.141984972575575519e+00,9.904155334220908751e+41,9.122348115844848927e+38,1.210309718154346740e+42,8.618075089623915135e+39
2.458994322899999563e+06,1.899367703077252401e+01,5.885514175719223203e+03,5.647985551124530502e+03,6.123042800313915905e+03,1.054033580984396250e+15,9.384651927562035000e+14,1.169601969212589000e+15,9.498786710281324910e+41,8.654855436876124245e+41,1.034271798368652558e+42,1.166852422758918806e+01,5.617307302823751971e+41,7.072222134976929242e+38,9.943263959126547241e+41,3.844099489885591029e+40
2.458995967499999795e+06,2.062973028878512238e+01,5.728439244647739542e+03,5.437133318248401338e+03,6.019745171047077747e+03,1.095138278461132125e+15,9.456218091934215000e+14,1.244654747728842750e+15,9.202477503264228131e+41,8.260455521449356951e+41,1.014449948507909931e+42,1.376127259360599631e+01,5.168540226230434879e+41,6.832887425710410212e+38,9.529725859678255159e+41,4.464899697220241547e+40
2.459003171399999876e+06,2.779619268928537679e+01,5.112901616488576110e+03,4.802132277625445568e+03,5.423670955351706652e+03,1.361210961506105500e+15,1.124609653760476625e+15,1.597812269251734500e+15,9.022818475749406948e+41,7.814880133015293413e+41,1.023075681848352048e+42,1.849666104943410616e+01,4.242227299913755353e+41,5.269538466759108039e+38,9.286417866133859336e+41,6.753163343416421586e+40
2.459007518799999729e+06,3.212099989628921293e+01,4.843400323085260425e+03,4.532169744273222022e+03,5.154630901897298827e+03,1.528843257466902000e+15,1.238699793817114500e+15,1.818986721116689500e+15,9.165348663144159162e+41,7.790541280696949059e+41,1.054015604559136926e+42,1.995802946743232908e+01,3.911181466094231435e+41,4.568233658316600797e+38,9.383967949094017237e+41,8.209337180598829300e+40
2.459013218799999915e+06,3.779137784208663220e+01,4.645102735117623524e+03,4.300128268929050137e+03,4.990077201306196912e+03,1.674388681532810250e+15,1.304513907578749000e+15,2.044263455486871500e+15,9.300696111093225931e+41,7.709952936571478266e+41,1.089143928561497360e+42,2.196321799451682111e+01,3.520791810268368973e+41,3.840289164491966100e+38,9.517359160247692112e+41,1.025629193507937722e+41
2.459018918799999636e+06,4.346175578742081314e+01,4.888842566365284256e+03,4.576555952129700017e+03,5.201129180600868494e+03,1.505619183515269000e+15,1.231966602576217750e+15,1.779271764454320250e+15,9.227330751503422724e+41,8.146169459598663762e+41,1.030849204340818169e+42,2.548236350658290572e+00,2.012071887884050844e+41,3.263104264750885775e+38,9.251289899315616766e+41,8.482214873007102385e+40
