# JD,t_rest ,T, T_down, T_up, R, R_down, R_up,L,L_down,L_up, chi2/dof,Psudo_L_bol, Pseudo_L_bol_err,L_bol_w_extrap,L_bol_w_extrap_err
2.458976641899999697e+06,1.892016107328559738e+00,1.942001602343693594e+04,1.897557181337234215e+04,1.986446023350152973e+04,1.724724774239682500e+14,1.672387207515847812e+14,1.777062340963517188e+14,3.014807171432771067e+42,2.899960122210524118e+42,3.129654220655018016e+42,7.935936454816148178e-01,1.507603728140836772e+42,1.592766763604231938e+39,3.004710546996365984e+42,5.705351323264392497e+40
2.458979869199999608e+06,5.102544307920008571e+00,1.289385857233464230e+04,1.258649526690138919e+04,1.320122187776789542e+04,3.285557281331286250e+14,3.160430979896473125e+14,3.410683582766099375e+14,2.126039339285726953e+42,2.048427435747330106e+42,2.203651242824123800e+42,3.088524982032427868e+00,1.583671919597385148e+42,1.451915651768872652e+39,2.118947852465568605e+42,1.959432541034458358e+40
2.458980738299999852e+06,5.967127724395972166e+00,1.180000567206089363e+04,1.153809991674293451e+04,1.206191142737885275e+04,3.686066854127381875e+14,3.545625688064955000e+14,3.826508020189808750e+14,1.877054491042954328e+42,1.813604073185834259e+42,1.940504908900074397e+42,3.488070374513899896e+00,1.504297041383757144e+42,1.308139345205930358e+39,1.913926683719357436e+42,1.390844034826208859e+40
2.458982268699999899e+06,7.489574462682104361e+00,1.046131757750945690e+04,1.026789585403544152e+04,1.065473930098347228e+04,4.265899297180449375e+14,4.115892832362628750e+14,4.415905761998270000e+14,1.553060392373461865e+42,1.508167247779458445e+42,1.597953536967465285e+42,3.148827747291431667e+00,1.294106270694528583e+42,1.106448712839771251e+39,1.589587594270393626e+42,8.612623067074112093e+39
2.458982930599999614e+06,8.148034666293824557e+00,1.015430010732459050e+04,9.968287460229910721e+03,1.034031275441927028e+04,4.434351520448974375e+14,4.276169473030995625e+14,4.592533567866953125e+14,1.489641677704345709e+42,1.446409507281966780e+42,1.532873848126724638e+42,3.202511364062874399e+00,1.248560185366522570e+42,1.074295869930485965e+39,1.526640855977630671e+42,8.141606573204747994e+39
2.458985182799999602e+06,1.038853031700260132e+01,9.059212355787862180e+03,8.876741186844670665e+03,9.241683524731053694e+03,5.114422450178518125e+14,4.894133028894450625e+14,5.334711871462585625e+14,1.255383904917472614e+42,1.211677693129041529e+42,1.299090116705903698e+42,4.554839316808766192e+00,1.060946772505391247e+42,9.250561159381950276e+38,1.293714439127559184e+42,8.156437280362017788e+39
2.458986176699999720e+06,1.137726516626775997e+01,8.515855900458258475e+03,8.331488466183825949e+03,8.700223334732691001e+03,5.569286564295934375e+14,5.304442620430080000e+14,5.834130508161788750e+14,1.162342041270846667e+42,1.117246037865661026e+42,1.207438044676032307e+42,5.099473717816677798e+00,9.904155334220908751e+41,9.122348115844848927e+38,1.214528328647506277e+42,8.742745919198959117e+39
2.458994322899999563e+06,1.948113057322461117e+01,5.918389731103841768e+03,5.677915145089194993e+03,6.158864317118488543e+03,1.051419215836846750e+15,9.359737837546021250e+14,1.166864647919091250e+15,9.664684079607043395e+41,8.809311530531614209e+41,1.052005662868247258e+42,1.168158642778178802e+01,5.617307302823751971e+41,7.072222134976929242e+38,9.982499653017838561e+41,3.864059318494842889e+40
2.458995967499999795e+06,2.111718383123720955e+01,5.756740692242381556e+03,5.461605725280762272e+03,6.051875659204000840e+03,1.093613508188295250e+15,9.438033222494315000e+14,1.243423694127159000e+15,9.359572276659828176e+41,8.403265597832786300e+41,1.031587895548687005e+42,1.384565895435244620e+01,5.168540226230434879e+41,6.832887425710410212e+38,9.572374363803493865e+41,4.500100461339212222e+40
2.459003171399999876e+06,2.828364623173746395e+01,5.135297873322838313e+03,4.821023697113661001e+03,5.449572049532015626e+03,1.359496936033822000e+15,1.122583275924298500e+15,1.596410596143345500e+15,9.158843258672243213e+41,7.935847961497859833e+41,1.038183855584662659e+42,1.859188805243737974e+01,4.242227299913755353e+41,5.269538466759108039e+38,9.334672635199726389e+41,6.800229591261874548e+40
2.459007518799999729e+06,3.260845343874130009e+01,4.863514258389238421e+03,4.548987702955936584e+03,5.178040813822540258e+03,1.526933323780713750e+15,1.236479359806887000e+15,1.817387287754540500e+15,9.295280950551664319e+41,7.904653929273449191e+41,1.068590797182987945e+42,2.005245579600881811e+01,3.911181466094231435e+41,4.568233658316600797e+38,9.434249867685000929e+41,8.262951471108512829e+40
2.459013218799999915e+06,3.827883138453871936e+01,4.663751269939521080e+03,4.315232764112266523e+03,5.012269775766775638e+03,1.672203836254594250e+15,1.301979090581335750e+15,2.042428581927852750e+15,9.426306409632313582e+41,7.818848529599421000e+41,1.103376428966520616e+42,2.206438153818575643e+01,3.520791810268368973e+41,3.840289164491966100e+38,9.575544690667993635e+41,1.032517629514019287e+41
2.459018918799999636e+06,4.394920932987290030e+01,4.912086100697809343e+03,4.597104744112564731e+03,5.227067457283053955e+03,1.501899428411395000e+15,1.229139498750668250e+15,1.774659358072121750e+15,9.357658400701671103e+41,8.272043137731373057e+41,1.044327366367196915e+42,2.541358984850660363e+00,2.012071887884050844e+41,3.263104264750885775e+38,9.338857281044739225e+41,8.500127191227059397e+40
