# JD,t_rest ,T, T_down, T_up, R, R_down, R_up,L,L_down,L_up, chi2/dof,Psudo_L_bol, Pseudo_L_bol_err,L_bol_w_extrap,L_bol_w_extrap_err
2.458976641899999697e+06,1.404562564876473241e+00,2.092693968356025653e+04,2.051082643524625382e+04,2.134305293187425923e+04,1.545235477934326875e+14,1.504996483713258438e+14,1.585474472155395312e+14,3.263125916577406790e+42,3.140433658837963687e+42,3.385818174316849892e+42,1.016802520816063149e+00,1.507603728140836772e+42,1.592766763604231938e+39,2.853715340058453450e+42,5.063832539785255586e+40
2.458979869199999608e+06,4.615090765467922296e+00,1.540935666728588330e+04,1.508657185346573897e+04,1.573214148110602764e+04,2.511298362636946562e+14,2.427907694063486875e+14,2.594689031210406250e+14,2.533706220965443774e+42,2.435624620354298211e+42,2.631787821576589337e+42,3.713417963502203989e+00,1.583671919597385148e+42,1.451915651768872652e+39,2.138143524987419103e+42,2.151304774551367897e+40
2.458980738299999852e+06,5.479674181943885891e+00,1.435121533491108858e+04,1.407459128233532101e+04,1.462783938748685614e+04,2.729352217393370000e+14,2.639512463427378750e+14,2.819191971359361250e+14,2.251622047668348327e+42,2.172250137859116404e+42,2.330993957477580250e+42,3.852575941896148048e+00,1.504297041383757144e+42,1.308139345205930358e+39,1.939970815020759160e+42,1.541354338943554197e+40
2.458982268699999899e+06,7.002120920230018086e+00,1.296157282614106043e+04,1.275180733719282762e+04,1.317133831508929325e+04,3.042567095887182500e+14,2.948953387031400000e+14,3.136180804742965000e+14,1.861798801823509869e+42,1.806636894882730088e+42,1.916960708764289650e+42,3.267896691204314585e+00,1.294106270694528583e+42,1.106448712839771251e+39,1.614981667267130864e+42,9.571157116269709225e+39
2.458982930599999614e+06,7.660581123841738282e+00,1.262138363660779396e+04,1.241997590773728189e+04,1.282279136547830603e+04,3.140802414201704375e+14,3.043106456945178750e+14,3.238498371458230000e+14,1.783736517219436402e+42,1.731363130327238784e+42,1.836109904111634020e+42,3.237435702212541955e+00,1.248560185366522570e+42,1.074295869930485965e+39,1.551387627464920200e+42,8.956167658913587331e+39
2.458985182799999602e+06,9.901076774550514159e+00,1.141653548428353497e+04,1.122372434773167879e+04,1.160934662083539115e+04,3.517797616142720000e+14,3.390226442422984375e+14,3.645368789862455625e+14,1.497961407389438801e+42,1.448865226014008666e+42,1.547057588764868936e+42,4.024973640176053635e+00,1.060946772505391247e+42,9.250561159381950276e+38,1.316666216729394358e+42,8.432184918332130082e+39
2.458986176699999720e+06,1.088981162381567280e+01,1.079777212348401372e+04,1.060813307044629437e+04,1.098741117652173307e+04,3.780421462509855000e+14,3.634233576198059375e+14,3.926609348821650625e+14,1.384326945397604392e+42,1.336258355189569367e+42,1.432395535605639262e+42,4.096214118955178840e+00,9.904155334220908751e+41,9.122348115844848927e+38,1.237070337847268378e+42,8.613147192808107348e+39
2.458994322899999563e+06,1.899367703077252401e+01,7.717881714193596963e+03,7.453289227110536558e+03,7.982474201276657368e+03,6.623095809629968750e+14,6.010735761410013750e+14,7.235455857849923750e+14,1.109011752858144312e+42,1.024181351026048634e+42,1.193842154690239990e+42,9.165330706537032412e+00,5.617307302823751971e+41,7.072222134976929242e+38,1.035432834938488634e+42,3.624126904807088400e+40
2.458995967499999795e+06,2.062973028878512238e+01,7.478698579240119216e+03,7.143098510240984069e+03,7.814298648239254362e+03,6.935988404166531250e+14,6.104259147731001250e+14,7.767717660602061250e+14,1.072364520311592302e+42,9.738085380570375366e+41,1.170920502566147067e+42,1.176545951019982006e+01,5.168540226230434879e+41,6.832887425710410212e+38,9.986309263225506895e+41,4.428312244348316974e+40
2.459003171399999876e+06,2.779619268928537679e+01,6.704605652541235941e+03,6.342491488797854799e+03,7.066719816284617082e+03,8.490878005161227500e+14,7.181998569749098750e+14,9.799757440573356250e+14,1.038053550713885884e+42,9.124107212987970616e+41,1.163696380128974706e+42,1.627819202805340737e+01,4.242227299913755353e+41,5.269538466759108039e+38,9.783385046748401346e+41,6.707055004528929367e+40
2.459007518799999729e+06,3.212099989628921293e+01,6.367795071107933836e+03,6.001889598137782741e+03,6.733700544078084931e+03,9.454015915060682500e+14,7.852235206423835000e+14,1.105579662369753000e+15,1.047154040014185579e+42,9.045633961443722429e+41,1.189744683883998915e+42,1.782395635391080546e+01,3.911181466094231435e+41,4.568233658316600797e+38,9.897581278407970566e+41,8.151790232105858886e+40
2.459013218799999915e+06,3.779137784208663220e+01,6.111621022887441541e+03,5.708321606127456107e+03,6.514920439647426974e+03,1.031325409310214125e+15,8.290512250153032500e+14,1.233599593605125000e+15,1.057398526314632732e+42,8.939794842855836525e+41,1.220817568343681811e+42,1.972191949809440104e+01,3.520791810268368973e+41,3.840289164491966100e+38,1.008249399625890771e+42,1.014106552408743897e+41
2.459018918799999636e+06,4.346175578742081314e+01,6.374192114239016519e+03,6.018321748476816538e+03,6.730062480001216500e+03,9.455606648305155000e+14,7.948784064580831250e+14,1.096242923202947875e+15,1.051722076343444754e+42,9.415407288391440779e+41,1.161903423847745429e+42,2.319834960535315460e+00,2.012071887884050844e+41,3.263104264750885775e+38,1.012711055150304930e+42,8.501604190871182558e+40
