# JD,t_rest ,T, T_down, T_up, R, R_down, R_up,L,L_down,L_up, chi2/dof,Psudo_L_bol, Pseudo_L_bol_err,L_bol_w_extrap,L_bol_w_extrap_err
2.458976641899999697e+06,3.135520042769814886e+00,1.908765634930089072e+04,1.865604101704536151e+04,1.951927168155641994e+04,1.738847213630666875e+14,1.686001191387327500e+14,1.791693235874006250e+14,2.859926539515726971e+42,2.753586782477338741e+42,2.966266296554114891e+42,8.091577855403097042e-01,1.507603728140836772e+42,1.592766763604231938e+39,2.894618246407537223e+42,5.159751794409942556e+40
2.458979869199999608e+06,6.346048243361263275e+00,1.276225883251624509e+04,1.246173556795129480e+04,1.306278209708119539e+04,3.299757976994069375e+14,3.174519781228618125e+14,3.424996172759520625e+14,2.058239785806986826e+42,1.984293383045679639e+42,2.132186188568294013e+42,3.088819176937702249e+00,1.583671919597385458e+42,1.451915651768872652e+39,2.092829827209770341e+42,1.835005190548738038e+40
2.458980738299999852e+06,7.210631659837226870e+00,1.169128359821862068e+04,1.143441038557840147e+04,1.194815681085883989e+04,3.700247588049357500e+14,3.559545158752025000e+14,3.840950017346690000e+14,1.822770329998147213e+42,1.761821556603982552e+42,1.883719103392311874e+42,3.493028347364280695e+00,1.504297041383757144e+42,1.308139345205930660e+39,1.896802871168647283e+42,1.318942167306977064e+40
2.458982268699999899e+06,8.733078398123359065e+00,1.037613108340930921e+04,1.018547297584592343e+04,1.056678919097269500e+04,4.280739526709340000e+14,4.130035569026665000e+14,4.431443484392015000e+14,1.513564750176062402e+42,1.469929591856422050e+42,1.557199908495702754e+42,3.168316301295262871e+00,1.294106270694528583e+42,1.106448712839771251e+39,1.580382237473814086e+42,8.327000308617711389e+39
2.458982930599999614e+06,9.391538601735080150e+00,1.007370185585305262e+04,9.890118152740604273e+03,1.025728555896550097e+04,4.449727522646935000e+14,4.290673352395707500e+14,4.608781692898162500e+14,1.452930395548700546e+42,1.410792527671272431e+42,1.495068263426128661e+42,3.227204474511865762e+00,1.248560185366522570e+42,1.074295869930485965e+39,1.518728213406440473e+42,7.908713811131745179e+39
2.458985182799999602e+06,1.163203425244385691e+01,8.994605027859759502e+03,8.814028582124894456e+03,9.175181473594624549e+03,5.131387402285920000e+14,4.909646338603264375e+14,5.353128465968575625e+14,1.228060031989882993e+42,1.185131913016119026e+42,1.270988150963646960e+42,4.596896429623194003e+00,1.060946772505391247e+42,9.250561159381948764e+38,1.289349950555208616e+42,8.037482356362555583e+39
2.458986176699999720e+06,1.262076910170901378e+01,8.459171637010145787e+03,8.276780516491438902e+03,8.641562757528852671e+03,5.586746623343096250e+14,5.320535629852025000e+14,5.852957616834167500e+14,1.138809020768773772e+42,1.094475987721198332e+42,1.183142053816349212e+42,5.131842538608903048e+00,9.904155334220908751e+41,9.122348115844848927e+38,1.211273043846852335e+42,8.646086220789095381e+39
2.458994322899999563e+06,2.072463450866586498e+01,5.893152048223928432e+03,5.654942112684961103e+03,6.131361983762895761e+03,1.053422681769615125e+15,9.378837673736168750e+14,1.168961596165613250e+15,9.537125915579195212e+41,8.690552632357965233e+41,1.038369919880042519e+42,1.167144430774350639e+01,5.617307302823751971e+41,7.072222134976929242e+38,9.952365163642938665e+41,3.848710769490498687e+40
2.458995967499999795e+06,2.236068776667846691e+01,5.735014497900240713e+03,5.442821330643030706e+03,6.027207665157450720e+03,1.094783205587069250e+15,9.451982393323966250e+14,1.244368171841742000e+15,9.238807839885561802e+41,8.293479610287107762e+41,1.018413606948401584e+42,1.378092124068302660e+01,5.168540226230434105e+41,6.832887425710408701e+38,9.539626530962293445e+41,4.473080871239013139e+40
2.459003171399999876e+06,2.952715016717871777e+01,5.118107417388675458e+03,4.806525300052882812e+03,5.429689534724468103e+03,1.360811563477502500e+15,1.124137431080590500e+15,1.597485695874414500e+15,9.054306017788845316e+41,7.842876308744914189e+41,1.026573572683277644e+42,1.851884041904955325e+01,4.242227299913755353e+41,5.269538466759108039e+38,9.297618686213030385e+41,6.764115499967377055e+40
2.459007518799999729e+06,3.385195737418255391e+01,4.848076534549982171e+03,4.536081353232983929e+03,5.160071715866980412e+03,1.528398065698019750e+15,1.238182211475307500e+15,1.818613919920732000e+15,9.195438166416177138e+41,7.816960336123600877e+41,1.057391599670875340e+42,1.998002518103649550e+01,3.911181466094231435e+41,4.568233658316600797e+38,9.395643310557490032e+41,8.221822198991712328e+40
2.459013218799999915e+06,3.952233531997997318e+01,4.649438854529877972e+03,4.303642088408205382e+03,4.995235620651550562e+03,1.673879190045891250e+15,1.303922854997916500e+15,2.043835525093866000e+15,9.329792469282020169e+41,7.735168569411432133e+41,1.092441636915260820e+42,2.198678339218711741e+01,3.520791810268368973e+41,3.840289164491966100e+38,9.530857098564705067e+41,1.027231929706028451e+41
2.459018918799999636e+06,4.519271326531415411e+01,4.894242913119343029e+03,4.581331528946984690e+03,5.207154297291701369e+03,1.504752031599925000e+15,1.231307981377656500e+15,1.778196081822193500e+15,9.257496571982125756e+41,8.175292723185505312e+41,1.033970042077874620e+42,2.546629804769176886e+00,2.012071887884050844e+41,3.263104264750885775e+38,9.271565066725285491e+41,8.486429861553698778e+40
